Symbol,Price,1h % change,24h % change,Volume (24h)
ETHBTC,0.05299000,-0.282,-0.282,570.15943578
LTCBTC,0.00114400,-0.781,-0.781,46.28251890
BNBBTC,0.00931400,-4.998,-4.998,629.20437691
NEOBTC,0.00019220,0.156,0.156,3.53878534
QTUMETH,0.00085300,0.590,0.590,0.32827560
EOSETH,0.00019170,0.052,0.052,30.39476765
SNTETH,0.00000905,0.000,0.000,1.18941117
BNTETH,0.00019820,0.253,0.253,0.46917687
BCCBTC,0.00000000,0.000,0.000,0.00000000
GASBTC,0.00006270,-0.634,-0.634,0.40830936
BNBETH,0.17580000,-4.715,-4.715,1371.88085890
BTCUSDT,69327.21000000,-0.211,-0.211,864304982.44366190
ETHUSDT,3673.33000000,-0.475,-0.475,454542994.75770500
HSRBTC,0.00000000,0.000,0.000,0.00000000
OAXETH,0.00000000,0.000,0.000,0.00000000
DNTETH,0.00000000,0.000,0.000,0.00000000
MCOETH,0.00000000,0.000,0.000,0.00000000
ICNETH,0.00000000,0.000,0.000,0.00000000
MCOBTC,0.00000000,0.000,0.000,0.00000000
WTCBTC,0.00000000,0.000,0.000,0.00000000
WTCETH,0.00000000,0.000,0.000,0.00000000
LRCBTC,0.00000316,-0.315,-0.315,3.33976437
LRCETH,0.00005968,-0.979,-0.979,6.76681809
QTUMBTC,0.00004509,0.334,0.334,0.42891659
YOYOBTC,0.00000000,0.000,0.000,0.00000000
OMGBTC,0.00000000,0.000,0.000,0.00000000
OMGETH,0.00000000,0.000,0.000,0.00000000
ZRXBTC,0.00000656,0.153,0.153,0.37581729
ZRXETH,0.00000000,0.000,0.000,0.00000000
STRATBTC,0.00000000,0.000,0.000,0.00000000
STRATETH,0.00000000,0.000,0.000,0.00000000
SNGLSBTC,0.00000000,0.000,0.000,0.00000000
SNGLSETH,0.00000000,0.000,0.000,0.00000000
BQXBTC,0.00000000,0.000,0.000,0.00000000
BQXETH,0.00000000,0.000,0.000,0.00000000
KNCBTC,0.00001053,0.573,0.573,1.68047684
KNCETH,0.00000000,0.000,0.000,0.00000000
FUNBTC,0.00000000,0.000,0.000,0.00000000
FUNETH,0.00000000,0.000,0.000,0.00000000
