name,symbol,current_price,total_volume,market_cap
Bitcoin,btc,69833,14260887025,1379011810507
Ethereum,eth,3691.18,7004169994,444291227981
Tether,usdt,0.997866,18879591370,112452549834
BNB,bnb,647.23,1577762028,99850601185
Solana,sol,161.56,1577826346,74642174304
Lido Staked Ether,steth,3688.79,58688016,35114914519
USDC,usdc,0.999605,3660584901,32120640619
XRP,xrp,0.500938,793034848,27913798494
Dogecoin,doge,0.145779,653002082,21149554439
Toncoin,ton,7.17,205132598,17454234102
Cardano,ada,0.443557,420450500,15762974220
Shiba Inu,shib,2.324e-05,463699292,13750590642
Avalanche,avax,32.79,300709825,12931719476
Wrapped Bitcoin,wbtc,69861,100632394,10690072702
TRON,trx,0.117246,352385387,10253544195
Chainlink,link,16.02,315488669,9441868178
Bitcoin Cash,bch,471.41,220777301,9311438069
Polkadot,dot,6.52,206258666,8989297958
Uniswap,uni,10.43,280031446,7902965121
NEAR Protocol,near,6.54,274937131,7109838960
Polygon,matic,0.653329,301305809,6080952900
Litecoin,ltc,80.06,313923707,5980217175
Wrapped eETH,weeth,3837.33,43739037,5602845698
LEO Token,leo,5.88,968728,5442750507
Pepe,pepe,1.278e-05,672495389,5404685112
Dai,dai,0.997949,452266307,5276334739
Internet Computer,icp,10.93,141093522,5106223518
Fetch.ai,fet,1.72,174554326,4338452089
Kaspa,kas,0.167796,63716584,3985455724
Ethereum Classic,etc,26.76,136726597,3959562354
Aptos,apt,8.43,221163068,3704436735
Renzo Restaked ETH,ezeth,3684.36,71433682,3672414248
Render,rndr,9.19,135398617,3579262122
Ethena USDe,usde,0.998305,1072942084,3394934038
Monero,xmr,179.81,136136656,3326084714
Filecoin,fil,5.9,240560625,3325016808
Stacks,stx,2.25,62043398,3306122025
Hedera,hbar,0.090507,56228559,3242291961
First Digital USD,fdusd,0.998105,1527141289,3189701615
Cosmos Hub,atom,7.87,187580666,3078650915
Mantle,mnt,0.932893,80224913,3049451548
Immutable,imx,2.02,119695769,3001332063
Stellar,xlm,0.100298,41584467,2923002599
Cronos,cro,0.10827,8790391,2907948790
dogwifhat,wif,2.84,399216689,2848366019
Arbitrum,arb,0.972225,246775558,2823421655
Injective,inj,29.36,190682106,2821584876
OKB,okb,46.98,5357963,2819101070
FLOKI,floki,0.00027324,344589631,2664930297
Sui,sui,1.056,302324131,2567161283
The Graph,grt,0.264872,158080453,2526925885
Arweave,ar,37.59,58419053,2463027489
Bittensor,tao,352.22,34299147,2443663142
Optimism,op,2.21,237756899,2414373799
VeChain,vet,0.03147875,39473272,2295741107
Maker,mkr,2393.85,97212544,2227874968
Rocket Pool ETH,reth,4091.55,5359404,2068905609
Theta Network,theta,1.94,18066729,1952325417
Fantom,ftm,0.689516,96356959,1941582693
JasmyCoin,jasmy,0.03968734,226018877,1930792557
Notcoin,not,0.01873659,793126828,1925836131
Bonk,bonk,2.812e-05,250636143,1872565928
Ondo,ondo,1.27,161107825,1833488425
Brett,brett,0.180504,125502887,1793261787
THORChain,rune,5.28,178387006,1777424728
Celestia,tia,9.16,66725891,1737854159
Mantle Staked Ether,meth,3805.98,4277651,1728534250
Lido DAO,ldo,1.92,179752120,1718418923
Bitget Token,bgb,1.17,60776601,1633135119
Pyth Network,pyth,0.416604,104031412,1514160306
Core,core,1.7,34761751,1513997221
Starknet,strk,1.13,66747897,1475758871
EOS,eos,0.712231,185631609,1469772681
Sei,sei,0.492709,62071941,1442626781
WhiteBIT Coin,wbt,9.89,5756961,1428722445
Algorand,algo,0.170676,34975940,1399946099
Aave,aave,92.45,133585269,1379522590
GALA,gala,0.037933,89300302,1356515903
Jupiter,jup,1.0,82814456,1347985535
Ethena,ena,0.808567,132399161,1305864879
Quant,qnt,89.2,25621941,1298005982
ORDI,ordi,58.08,210209032,1221372045
Flow,flow,0.803175,21366974,1217955400
Flare,flr,0.02900858,17303626,1180975529
Cheelee,cheel,20.55,5645815,1167951969
Chiliz,chz,0.128847,154876068,1148973814
Beam,beam,0.02313157,19309461,1146593284
Wormhole,w,0.625408,119178438,1123534024
Gate,gt,8.59,2972403,1119580408
dYdX,dydx,1.88,21143358,1116436008
Bitcoin SV,bsv,55.91,13051376,1104596233
Kelp DAO Restaked ETH,rseth,3729.95,1994493,1102914635
Axie Infinity,axs,7.38,44747695,1085137867
BitTorrent,btt,1.09e-06,123545723,1054715578
Worldcoin,wld,4.27,288731926,1019987300
Akash Network,akt,4.2,7395281,1007915186
Tokenize Xchange,tkx,12.48,10006565,1000022091
KuCoin,kcs,10.36,82306,992987720
Ronin,ron,2.94,17344449,971238892
MultiversX,egld,35.5,19566677,963864527
NEO,neo,13.55,23638063,957503166
The Sandbox,sand,0.420486,167069683,955397693
Zebec Protocol,zbc,0.0185621,9036.03,945935019
SingularityNET,agix,0.724694,82787687,934567986
MANTRA,om,1.06,85745940,879405393
Marinade Staked SOL,msol,193.35,9158768,872582991
Gnosis,gno,327.66,3269828,850925343
Pendle,pendle,5.37,46628994,843612658
Tezos,xtz,0.851119,45944287,842453746
Mina Protocol,mina,0.747595,19879283,839100178
eCash,xec,4.193e-05,5019886,828497553
NEXO,nexo,1.46,5185741,820687325
Oasis Network,rose,0.120578,65638270,812833727
Synthetix Network,snx,2.44,20739872,801976385
ether.fi Staked ETH,eeth,3690.85,243967,790789351
Conflux,cfx,0.194726,25897002,790635973
Decentraland,mana,0.420443,138632463,786544924
BOOK OF MEME,bome,0.0108824,111942332,749960583
Lido Staked SOL,stsol,191.88,310501,747280571
Safe,safe,1.75,14956829,745501238
Klaytn,klay,0.201155,10413193,741882965
DeXe,dexe,12.97,10112342,741333236
Livepeer,lpt,22.63,68666444,737319675
USDD,usdd,0.997949,4294234,734868824
