name,symbol,current_price,total_volume,market_cap
Bitcoin,btc,61112,25759226206,1203383959920
Ethereum,eth,3315.19,16694059756,405275356352
Tether,usdt,0.999878,42730356690,112935697147
BNB,bnb,569.01,1027777613,87462388849
Solana,sol,126.64,2490794854,58530318802
USDC,usdc,1.001,6459412182,32719818987
Lido Staked Ether,steth,3314.03,74278569,31871450716
XRP,xrp,0.475458,929187288,26434626025
Toncoin,ton,7.29,501487268,17881122517
Dogecoin,doge,0.117099,810119924,16943881816
Cardano,ada,0.372485,288789970,13189789269
TRON,trx,0.118543,306655060,10340284405
Shiba Inu,shib,1.669e-05,250380284,9814738548
Avalanche,avax,24.3,610343561,9555324487
Wrapped Bitcoin,wbtc,61017,292548420,9330902028
Chainlink,link,13.13,353795684,7971077783
Polkadot,dot,5.57,186082728,7674574410
Bitcoin Cash,bch,350.91,226823678,6902430631
Uniswap,uni,9.03,198114528,6800646967
NEAR Protocol,near,5.29,451166871,5822092089
LEO Token,leo,5.78,4117119,5355875038
Wrapped eETH,weeth,3439.26,65187668,5293899530
Litecoin,ltc,69.77,413433520,5207154869
Dai,dai,0.999669,367526152,5187259689
Polygon,matic,0.550951,266593498,5113125946
Pepe,pepe,1.067e-05,712279058,4480995685
Internet Computer,icp,7.8,82169292,3622959109
Fetch.ai,fet,1.44,194471365,3615932323
Ethena USDe,usde,1.001,61415702,3569670098
Kaspa,kas,0.146623,49749837,3507124358
Renzo Restaked ETH,ezeth,3335.21,89671589,3332389239
Ethereum Classic,etc,22.33,130431301,3291731275
Aptos,apt,6.64,178262164,2999812242
Monero,xmr,162.28,55442488,2996382955
Render,rndr,7.14,161935888,2770153763
Hedera,hbar,0.074779,49464422,2672963275
Cosmos Hub,atom,6.62,200363902,2585454326
Stellar,xlm,0.086989,67411217,2530714140
Arbitrum,arb,0.771968,222370736,2490354646
OKB,okb,40.98,5953194,2460194382
Mantle,mnt,0.743582,171419880,2428598507
Filecoin,fil,4.21,168805434,2375037273
Cronos,cro,0.088282,10722934,2365635326
First Digital USD,fdusd,1.001,4095369348,2265046122
Stacks,stx,1.54,42106852,2254445578
Immutable,imx,1.47,52980955,2213547494
Sui,sui,0.850998,175012872,2054779569
Maker,mkr,2198.85,101291120,2038739678
Injective,inj,20.6,126926319,1998062313
VeChain,vet,0.02440016,40774511,1976908507
The Graph,grt,0.205736,67920934,1961298919
Lido DAO,ldo,2.14,169335622,1906509425
Optimism,op,1.7,191484973,1900568794
Bittensor,tao,270.18,45989557,1876821167
Rocket Pool ETH,reth,3674.07,19283934,1851711010
Arweave,ar,26.52,100105842,1736021650
Ondo,ondo,1.11,177474661,1597253011
Fantom,ftm,0.567511,282813611,1589482142
dogwifhat,wif,1.58,639076148,1570624730
Mantle Staked Ether,meth,3423.58,4752503,1551034991
Bitget Token,bgb,1.08,48508097,1512723870
FLOKI,floki,0.00015443,249187719,1492868175
Theta Network,theta,1.47,19875556,1468071975
Notcoin,not,0.01362449,467528851,1398614962
JasmyCoin,jasmy,0.02867499,140729870,1382206786
THORChain,rune,4.02,196255237,1349347817
WhiteBIT Coin,wbt,9.31,6832240,1342334810
Brett,brett,0.131338,56429800,1296936316
Bonk,bonk,1.922e-05,229205159,1271978453
Celestia,tia,6.21,69343715,1196773021
Core,core,1.33,81699175,1187254241
Aave,aave,79.12,100924199,1174296153
EOS,eos,0.549331,122940196,1130148250
Pyth Network,pyth,0.303901,68616980,1100200149
Quant,qnt,73.86,15576906,1073719999
Algorand,algo,0.130939,40876195,1071107513
Sei,sei,0.344726,54943688,1050966307
Kelp DAO Restaked ETH,rseth,3334.21,11353054,1002350786
Gate,gt,7.64,7202732,993030887
Jupiter,jup,0.716827,94286079,966863137
GALA,gala,0.02646865,94249950,954768754
Flare,flr,0.02224823,9778090,950527934
Ethena,ena,0.542165,129734188,926164063
Flow,flow,0.609578,25619451,923080256
KuCoin,kcs,9.54,125242,913396989
Zebec Protocol,zbc,0.0179427,2362.96,913321939
Starknet,strk,0.67429,73550863,875293012
Bitcoin SV,bsv,43.33,22634093,854179044
Pendle,pendle,5.47,148020645,847780399
Axie Infinity,axs,5.77,46685239,847355375
Tokenize Xchange,tkx,10.28,8667804,821758003
BitTorrent,btt,8.37652e-07,27610843,810326456
dYdX,dydx,1.35,28716948,801437288
Beam,beam,0.01562509,28445475,772283128
SingularityNET,agix,0.597298,111077668,766867362
Gnosis,gno,294.17,4197302,762000217
